Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
NZL,25:09:2013,46831.401,13:00:31.401,-07,37.8208854,-122.4509470,285.3,0.2,0.2,293.9,1.98,266.3,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46831.601,13:00:31.601,-07,37.8208861,-122.4509490,285.6,0.3,0.1,293.3,1.97,266.2,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46831.801,13:00:31.801,-07,37.8208868,-122.4509512,285.8,0.3,-0.1,292.6,1.99,266.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46832.001,13:00:32.001,-07,37.8208875,-122.4509533,286.2,0.2,-0.3,292.0,1.98,265.9,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46832.201,13:00:32.201,-07,37.8208882,-122.4509555,286.5,0.1,-0.5,290.7,1.95,265.8,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46832.401,13:00:32.401,-07,37.8208889,-122.4509576,286.9,0.0,-0.7,291.4,1.85,265.8,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46832.601,13:00:32.601,-07,37.8208895,-122.4509595,287.3,-0.1,-0.8,293.6,1.76,265.6,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46832.801,13:00:32.801,-07,37.8208901,-122.4509614,287.7,-0.2,-0.8,296.1,1.66,265.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46833.001,13:00:33.001,-07,37.8208908,-122.4509631,288.0,-0.3,-0.7,298.9,1.58,265.4,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46833.201,13:00:33.201,-07,37.8208916,-122.4509647,288.4,-0.3,-0.6,302.9,1.55,265.4,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46833.401,13:00:33.401,-07,37.8208924,-122.4509662,288.7,-0.3,-0.4,307.8,1.51,265.3,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46833.601,13:00:33.601,-07,37.8208933,-122.4509675,288.9,-0.3,-0.1,311.9,1.55,265.2,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46833.801,13:00:33.801,-07,37.8208943,-122.4509688,289.1,-0.2,0.1,314.0,1.59,265.1,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46834.001,13:00:34.001,-07,37.8208954,-122.4509703,289.3,-0.1,0.3,314.9,1.71,265.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46834.201,13:00:34.201,-07,37.8208965,-122.4509719,289.5,0.0,0.5,312.9,1.76,265.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46834.401,13:00:34.401,-07,37.8208977,-122.4509735,289.7,0.1,0.5,311.0,1.87,264.9,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46834.601,13:00:34.601,-07,37.8208988,-122.4509751,290.0,0.2,0.5,308.5,1.87,264.9,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46834.801,13:00:34.801,-07,37.8208999,-122.4509769,290.2,0.2,0.5,308.0,1.92,264.8,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46835.001,13:00:35.001,-07,37.8209010,-122.4509787,290.5,0.1,0.4,307.9,1.97,264.8,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46835.201,13:00:35.201,-07,37.8209021,-122.4509806,290.9,0.1,0.4,307.9,1.99,264.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,25:09:2013,46835.401,13:00:35.401,-07,37.8209033,-122.4509824,291.2,0.0,0.4,308.8,2.01,264.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
