Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
USA,25:09:2013,46832.200,13:00:32.200,-07,37.8276971,-122.4624699,279.9,-1.3,-0.3,294.5,4.62,265.9,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46832.400,13:00:32.400,-07,37.8276988,-122.4624749,279.6,-1.0,-0.2,292.8,4.62,265.8,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46832.600,13:00:32.600,-07,37.8277004,-122.4624799,279.5,-0.7,0.0,291.8,4.66,265.6,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46832.800,13:00:32.800,-07,37.8277019,-122.4624850,279.3,-0.4,0.1,290.7,4.70,265.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46833.000,13:00:33.000,-07,37.8277035,-122.4624901,279.2,-0.1,0.2,290.1,4.76,265.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46833.200,13:00:33.200,-07,37.8277051,-122.4624955,279.1,0.0,0.3,289.0,4.77,265.4,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46833.400,13:00:33.400,-07,37.8277065,-122.4625008,279.0,-0.1,0.3,289.3,4.85,265.3,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46833.600,13:00:33.600,-07,37.8277080,-122.4625061,278.9,-0.2,0.3,289.6,4.90,265.2,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46833.800,13:00:33.800,-07,37.8277095,-122.4625116,278.8,-0.3,0.1,289.3,4.94,265.1,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46834.000,13:00:34.000,-07,37.8277110,-122.4625170,278.6,-0.6,0.0,289.4,4.95,265.1,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46834.200,13:00:34.200,-07,37.8277126,-122.4625225,278.4,-0.7,-0.1,288.7,4.86,265.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46834.400,13:00:34.400,-07,37.8277140,-122.4625278,278.2,-1.0,-0.1,288.1,4.80,265.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46834.600,13:00:34.600,-07,37.8277154,-122.4625331,277.9,-1.2,-0.1,287.6,4.73,264.9,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46834.800,13:00:34.800,-07,37.8277166,-122.4625384,277.7,-1.3,0.0,286.2,4.71,264.8,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46835.000,13:00:35.000,-07,37.8277178,-122.4625438,277.5,-1.5,0.0,285.3,4.78,264.8,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46835.200,13:00:35.200,-07,37.8277190,-122.4625492,277.3,-1.5,0.0,284.8,4.87,264.8,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46835.400,13:00:35.400,-07,37.8277201,-122.4625548,277.2,-1.4,-0.3,283.6,4.95,264.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46835.600,13:00:35.600,-07,37.8277212,-122.4625604,277.2,-1.2,-0.6,283.6,4.94,264.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46835.800,13:00:35.800,-07,37.8277223,-122.4625660,277.3,-0.9,-0.9,283.7,4.89,264.7,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46836.000,13:00:36.000,-07,37.8277233,-122.4625715,277.5,-0.6,-1.2,283.9,4.77,264.6,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46836.200,13:00:36.200,-07,37.8277245,-122.4625768,277.6,-0.4,-1.3,284.4,4.58,264.6,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46836.400,13:00:36.400,-07,37.8277255,-122.4625819,277.8,-0.3,-1.2,285.0,4.37,264.6,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,25:09:2013,46836.600,13:00:36.600,-07,37.8277265,-122.4625867,278.0,-0.2,-0.9,285.0,4.19,264.6,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
